111,"The couple gave absolute power over the court.","The couple effectively enabled him to gain near-absolute power at court."

112,", two more players were severly concussed four were sent off for fighting.","Two more players were severely concussed, and four were sent off for fighting."

113,"A school was opened.","A school was opened in the community."
113,"The same happened in kumanovo.","A similar development occurred in Kumanovo."

114,"She coached hockey at oakham school until july 2014.","She coached hockey at Oakham School until July 2014."
114,"She became a full - time athlete, based at bisham abbey.","She then became a full-time athlete based at Bisham Abbey."

116,"The wrights introduced a twist along the blade.","The Wrights introduced a twist along the propeller blade."
116,"The wrights to produce a somewhat uniform angle of attack along its length.","This design produced a more uniform angle of attack along the blade."

117,"It has its editorial and administrative offices in santa cruz de tenerife.","It maintains editorial and administrative offices in Santa Cruz de Tenerife."
117,"It is printed in the workshops of san cristbal de la laguna.","It is printed in workshops located in San Cristóbal de La Laguna."

118,"He played on broadway.","He performed in numerous productions on Broadway."

119,"Columbiana had a population of 1,180.","Columbiana had a population of 1,180 residents."

120,"Maria johanna grtz was a swedish artist, still life painter and drawing artist and a member of the royal swedish academy of arts.","Maria Johanna Görtz was a Swedish still-life painter and drawing artist who belonged to the Royal Swedish Academy of Arts."
120,"Maria johanna grtz drawing artist.","She also worked extensively as a drawing artist."

121,"The company supplies gas to domestic customers.","The company supplies gas to domestic customers."
122,"A soil can lose its characteristic desirable qualities.","Soil can lose its desirable qualities under certain conditions."
122,"A soil meets the textural definition of loam.","Some soils meet the textural definition of loam."
122,"A soil has clay dispersed throughout its fine - earth fraction.","Some loams contain clay dispersed throughout their fine-earth fraction."

123,"The story building exists.","The five-story building still exists today."
123,"The story building was located during.","The building existed during the events described in the memoir."
123,"The story building mentioning the memoir on a pillar of the outer wall.","A plaque on the outer wall mentions the memoir."
123,"The story building has a small round gold - coloured plaque mentioning the memoir on a pillar of the outer wall.","A small gold-colored plaque on a pillar commemorates the memoir."

124,"Ervin began teaching piano.","Ervin began teaching piano at a young age."
124,"Ervin teaching piano at the age of 15 and as a middle school educator in 2001.","He taught piano at age 15 and later worked as a middle school educator in 2001."

125,"It moved to the east toward europe.","The storm moved eastward toward Europe."

126,"Ruskin continued to support hunt and rossetti.","Ruskin continued to support both Hunt and Rossetti financially and artistically."

128,"Nuffield purchased the bankrupt riley ( coventry.","Nuffield purchased the bankrupt Riley (Coventry)."
128,"Nuffield sold them to his own morris motor company with the addition of wolseley later that year.","He later sold the assets to his Morris Motor Company, incorporating Wolseley."
128,"The combined enterprise became known as the nuffield organisation.","The combined businesses became known as the Nuffield Organisation."

129,"She taught herself to draw.","She taught herself to draw while recuperating."
129,"She began selling cartoons to magazines.","She began selling cartoons to magazines soon afterward."

130,"Bowyers was a large company based in trowbridge, wiltshire, england, based manufacturer of meat products.","Bowyers was a major meat product manufacturer based in Trowbridge, Wiltshire."
130,"Bowyers are produced.","Bowyers-branded sausages continue to be produced today."

131,"The nuggets were swept.","The Nuggets were swept in the series."

132,"The paying nude jobs are appearing.","High-paying nude modeling jobs appear primarily in tabloid features."
132,"In england the best paying nude jobs are appearing in page three of tabloid newspapers such as the sun.","In England, the most lucrative nude modeling jobs appear in *The Sun*’s Page Three feature."
132,"A page three regular can earn 30,000.","Regular Page Three models can earn up to £30,000."

133,"X was the administrator in charge of the ahenerbe 's military scientific institute responsible for grisly experiments conducted at concentration camps.","Sievers was the administrator of the Ahnenerbe’s Military Scientific Institute and oversaw horrific experiments conducted at concentration camps."

134,"It is believed.","It is believed that dietary nitrate is converted to nitric oxide in the body."
134,"It reduces hypertension.","This nitric oxide production helps reduce hypertension."

135,"He repossessed mining properties.","He repossessed mining properties when their owners defaulted."
136,"The winery invited hollywood stars including clark gable, charles laughton, and carole lombard to visit.","The winery invited Hollywood stars such as Clark Gable, Charles Laughton, and Carole Lombard to visit."

137,"Two are adopted.","Two of their children were adopted."

138,"Sunny band decided to lock up the door.","Sunny’s band decided to lock the door and never speak of the incident again."
138,"Sunny band selling it.","They later defeated the creature by turning it into a sloppy joe and selling it."

139,"They sold the station.","They sold the station in the early 1960s."
139,"They became part of the bluegrass broadcasting chain.","It then became part of the Bluegrass Broadcasting chain."

140,"Season stancu managed to score 16 times.","During the season, Stancu managed to score 16 goals."

141,"Two merchants gave free passage to many of the children.","Two merchants offered free passage to many children."
141,"They were taken to tunisia sold into slavery died in a shipwreck on san pietro island off sardinia during a gale.","They were taken to Tunisia, sold into slavery, or died in a shipwreck near San Pietro Island during a storm."
141,"Two merchants sold into slavery.","Many of the children were sold into slavery."
141,"Two merchants died in a shipwreck on san pietro island off sardinia during a gale.","Some perished in a shipwreck near San Pietro Island during a gale."

142,"Bean escape an assassination attempt themselves.","Bean narrowly escaped an assassination attempt."

143,"The game can be played.","The game can be played on multiple platforms."

144,"Target2 is the real - time gross settlement ( rtgs ) system with payment transactions being settled one by one on a continuous basis in central bank money with immediate finality.","TARGET2 is a real-time gross settlement (RTGS) system in which payments are settled individually, continuously, and with immediate finality in central bank money."

sentence_id,model_atomic,gold_atomic
146,"Pocahontas school mascot is the redskin.also that school sucks due to many rules and threats.","Pocahontas School’s mascot is the Redskin, and the school is criticized for having many rules and threats."
146,"Pocahontas school mascot sucks due to many rules and threats.","The school’s mascot and strict rules have been criticized."

147,"X got ta tell you.","“Gotta Tell You” became a major hit for Samantha Mumba."

148,"Bedford forrest led the first troops to enter the county.","Bedford Forrest led the first troops to enter the county."
148,"Bedford forrest was much guerrilla activity in the area.","Much guerrilla activity occurred in the area during Forrest’s operations."

149,"The scene opens a '' choir of judges ''.","The scene opens with a ‘choir of judges.’"
149,"The scene calling him.","In the scene, the judges call upon him."

150,"The city became part of the first french empire.","The city became part of the First French Empire."
150,"The city was returned to prussia in 1815 after the napoleonic wars.","After the Napoleonic Wars, the city was returned to Prussia in 1815."

151,"Joe bushkin was a jazz pianist who began by playing trumpet and piano with new york city dance bands.","Joe Bushkin was a jazz pianist who began his career playing trumpet and piano with New York City dance bands."
151,"He began by playing trumpet and piano with new york city dance bands.","He started his musical career performing with dance bands in New York."

152,"The school has a wartime reserve role.","The school maintains a wartime reserve function."

153,"The charity shoal crater is a in diameter, shallow rimmed, circular depression with an associated ridge, located underwater in the north - eastern end of lake ontario, south - west of wolfe island.","The Charity Shoal Crater is a shallow, circular underwater depression with an associated ridge, located in northeastern Lake Ontario southwest of Wolfe Island."

154,"Shi is the second largest city after tottori located in the southest in tottori, japan,.","Yonago is the second-largest city in Tottori Prefecture and is located in the prefecture’s southern area."
154,"Shi facing the sea of japan adjacented to shimane.","It faces the Sea of Japan and borders Shimane Prefecture."
154,"Shi adjacented to shimane.","It is adjacent to Shimane Prefecture."

155,"Nguyen short film shorts.","Nguyen produced several short films."

156,"Bob lanier was a businessman in the real estate industry ( landar ) who served as mayor of the city of houston, texas from 1992 to 1998.","Bob Lanier was a real-estate businessman (Landar) who served as mayor of Houston, Texas from 1992 to 1998."
156,"He served as mayor of the city of houston, texas from 1992 to 1998.","He served as Houston’s mayor from 1992 to 1998."

157,"It was truncated to ny 383.","NY 251 was truncated to NY 383 in Scottsville."
158,"He possessed problematical features could not be explained this way.","Some problematic features of the play could not be explained by memorial reconstruction."
158,"He could not be explained.","Certain textual issues remained unexplained."

159,"The original has been lost.","The original version of the text has been lost."

160,"Masri is the daughter of munib masri from nablus and an american mother from texas who was raised in beirut, where she has lived most of her life.","Masri is the daughter of Munib Masri of Nablus and an American mother from Texas; she was raised in Beirut and has spent most of her life there."
160,"Was raised in beirut, she has lived most of her life.","She was raised in Beirut and has lived there most of her life."
160,"He has lived most of her life.","She has lived in Beirut for most of her life."

161,"A related issue is the adoption of the '' gospel of mark.","A related issue concerns the adoption of the Gospel of Mark."
161,"A related issue become lost.","A related issue has been partially lost or obscured in the sources."

162,"Krisztin simon is a hungarian footballer who plays for jpest.","Krisztián Simon is a Hungarian footballer who plays for Újpest."
162,"He plays for jpest.","He currently plays for Újpest."

163,"The gas turbine was developed to power road vehicles.","The Leyland 2S/350 gas turbine was developed to power road vehicles."
163,"It was used in the british rail apt - e train.","It was also used in the British Rail APT-E train."

164,"Isaac barr was born.","Isaac Barré was born in Dublin in 1726."

165,"She for won a cableace award.","She won a CableACE Award for her work."
165,"She starred with her husband ed harris in '' alamo bay '' directed by louis malle.","She starred alongside her husband Ed Harris in *Alamo Bay*, directed by Louis Malle."

166,"Peirce grew up.","Peirce grew up in a low-income environment."
166,"This experience contributed to her fascination with the brandon teena story in low - income.","This upbringing influenced her interest in the Brandon Teena story."

167,"Minister jawaharlal nehru made the first call for a '' standstill agreement '' on nuclear testing, followed by soviet premier nikita khrushchev, who in february 1955 first proposed test ban negotiations.","Jawaharlal Nehru first called for a “standstill agreement” on nuclear testing; later, Khrushchev proposed test-ban negotiations in 1955."

168,"The game had several ports to amstrad cpc, commodore 64, msx, zx spectrum, a rumored port to the amiga.","The game had ports for the Amstrad CPC, Commodore 64, MSX, and ZX Spectrum, and a rumored Amiga port."
168,"The game to amstrad cpc,.","A version existed for the Amstrad CPC."
168,"The game never came to fruition.","The rumored Amiga port never materialized."

169,"British troops left philadelphia.","British troops left Philadelphia in June 1778."
169,"Darrah 's children returned to their family home.","Darrah’s children returned home afterward."

170,"Recited nursery rhymes the other featured peanuts comic strip characters.","One toy recited nursery rhymes, while the other featured Peanuts characters."
170,"A mother goose and a '' snoopy says see ' n say were unveiled in 1969.","‘Mother Goose’ and ‘Snoopy Says See ’n Say’ toys were released in 1969."

171,"He faced charges for driving under suspension and hindering  resisting arrest by providing false information.","He faced charges for driving under suspension and for hindering and resisting arrest by providing false information."
171,"He hindering resisting arrest by providing false information.","He was charged with resisting arrest by giving false information."

172,"Dstore sold vhs movies, cds and console games.","dStore sold VHS movies, CDs, and console games."
173,"The last patches are threatened.","The remaining patches of the tree’s habitat are threatened."

174,"Air races had been held.","Air races had been held sporadically on the Isle of Man since 1924."
174,"The entrants were permitted to use two fields at ronaldsway on the proviso that the entry was limited to 10 aircraft.","Entrants were allowed to use two fields at Ronaldsway, provided the entry stayed under 10 aircraft."

175,"It is named.","It is named after Lu Xun."
175,"It has been awarded since 1995.","It has been awarded every three years since 1995."

176,"The temperature exhaust turned out.","The high-temperature exhaust proved to be a significant radar reflector."

177,"A new theoretical framework was advanced.","A new theoretical framework was proposed."
177,"A new theoretical framework condensed during mass loss from stars of differing types.","This framework described mass-loss behavior across different stellar types."

178,"Roger dean broughton was a new zealand cricketer who played 21 first - class matches and 16 limited - overs for the northern districts knights in the 1980s.","Roger Dean Broughton was a New Zealand cricketer who played 21 first-class and 16 limited-overs matches for the Northern Districts Knights in the 1980s."
178,"He played 21 first - class matches and 16 limited - overs for the northern districts knights in the 1980s.","He appeared in 21 first-class and 16 limited-overs matches for the team."

180,"This war was a strong uniting force in canada.","The war became a major unifying force in Canada."
180,"This war defended itself against american aggression.","Canada defended itself against American aggression during the war."
180,"This war sparked the creation of an independent canada.","The conflict helped spark the development of an independent Canadian identity."
